preferred_label_esco,potential_entity_variants_dbpedia,class_label_dbpedia,entity_valid_variants_dbpedia,llm_formatted_entity,llm_expanded_class_label
attention to detail,"['attention_To_Detail', 'attention_To_detail', 'Attention_to_Detail', 'Attention_To_Detail', 'Attention_to_detail', 'Attention_To_detail', 'attention_to_Detail', 'attention_to_detail']","['company', 'company', 'agent', 'organisation']","['Attention_To_Detail', 'Attention_to_Detail']",attention to detail,company
attention to detail,"['attention_To_Detail', 'attention_To_detail', 'Attention_to_Detail', 'Attention_To_Detail', 'Attention_to_detail', 'Attention_To_detail', 'attention_to_Detail', 'attention_to_detail']","['company', 'company', 'agent', 'organisation']","['Attention_To_Detail', 'Attention_to_Detail']",attention to detail,agent
attention to detail,"['attention_To_Detail', 'attention_To_detail', 'Attention_to_Detail', 'Attention_To_Detail', 'Attention_to_detail', 'Attention_To_detail', 'attention_to_Detail', 'attention_to_detail']","['company', 'company', 'agent', 'organisation']","['Attention_To_Detail', 'Attention_to_Detail']",attention to detail,organisation
developmental psychology,"['developmental_psychology', 'Developmental_Psychology', 'developmental_Psychology', 'Developmental_psychology']","['book', 'person function']",['Developmental_psychology'],developmental psychology,book
developmental psychology,"['developmental_psychology', 'Developmental_Psychology', 'developmental_Psychology', 'Developmental_psychology']","['book', 'person function']",['Developmental_psychology'],developmental psychology,person function
fire protection engineering,"['fire_Protection_engineering', 'fire_protection_engineering', 'Fire_protection_Engineering', 'Fire_Protection_engineering', 'Fire_protection_engineering', 'Fire_Protection_Engineering', 'fire_Protection_Engineering', 'fire_protection_Engineering']",['software'],['Fire_protection_engineering'],fire protection engineering,software
Grovo,"['grovo', 'Grovo']","['work', 'website']",['Grovo'],grovo,work
Grovo,"['grovo', 'Grovo']","['work', 'website']",['Grovo'],grovo,website
optics,"['optics', 'Optics']","['organisation', 'person function']",['Optics'],optics,organisation
optics,"['optics', 'Optics']","['organisation', 'person function']",['Optics'],optics,person function
genetics,"['genetics', 'Genetics']","['book', 'person function']",['Genetics'],genetics,book
genetics,"['genetics', 'Genetics']","['book', 'person function']",['Genetics'],genetics,person function
computer programming,"['Computer_Programming', 'computer_Programming', 'Computer_programming', 'computer_programming']","['Election', 'music genre']",['Computer_programming'],computer programming,Election
computer programming,"['Computer_Programming', 'computer_Programming', 'Computer_programming', 'computer_programming']","['Election', 'music genre']",['Computer_programming'],computer programming,music genre
geomatics,"['geomatics', 'Geomatics']",['sport'],['Geomatics'],geomatics,sport
neurophysiology,"['Neurophysiology', 'neurophysiology']",['organisation'],['Neurophysiology'],neurophysiology,organisation
political science,"['Political_science', 'political_science', 'political_Science', 'Political_Science']","['sport', 'university', 'university']","['Political_science', 'Political_Science']",political science,sport
political science,"['Political_science', 'political_science', 'political_Science', 'Political_Science']","['sport', 'university', 'university']","['Political_science', 'Political_Science']",political science,university
political science,"['Political_science', 'political_science', 'political_Science', 'Political_Science']","['sport', 'university', 'university']","['Political_science', 'Political_Science']",political science,university
computer science,"['Computer_Science', 'Computer_science', 'computer_science', 'computer_Science']","['university', 'programming language', 'university']","['Computer_science', 'Computer_Science']",computer science,university
computer science,"['Computer_Science', 'Computer_science', 'computer_science', 'computer_Science']","['university', 'programming language', 'university']","['Computer_science', 'Computer_Science']",computer science,programming language
computer science,"['Computer_Science', 'Computer_science', 'computer_science', 'computer_Science']","['university', 'programming language', 'university']","['Computer_science', 'Computer_Science']",computer science,university
family therapy,"['Family_therapy', 'Family_Therapy', 'family_therapy', 'family_Therapy']","['organisation', 'person function']",['Family_therapy'],family therapy,organisation
family therapy,"['Family_therapy', 'Family_Therapy', 'family_therapy', 'family_Therapy']","['organisation', 'person function']",['Family_therapy'],family therapy,person function
election law,"['Election_Law', 'election_law', 'election_Law', 'Election_law']",['sport'],['Election_law'],election law,sport
neurology,"['Neurology', 'neurology']","['medical specialty', 'organisation', 'person function']",['Neurology'],neurology,medical specialty
neurology,"['Neurology', 'neurology']","['medical specialty', 'organisation', 'person function']",['Neurology'],neurology,organisation
neurology,"['Neurology', 'neurology']","['medical specialty', 'organisation', 'person function']",['Neurology'],neurology,person function
source criticism,"['Source_Criticism', 'source_criticism', 'source_Criticism', 'Source_criticism']",['Election'],['Source_criticism'],source criticism,Election
snowboard,"['Snowboard', 'snowboard']",['organisation'],['Snowboard'],snowboard,organisation
office administration,"['Office_administration', 'office_administration', 'office_Administration', 'Office_Administration']",['person function'],['Office_Administration'],office administration,person function
stock market,"['Stock_Market', 'stock_market', 'stock_Market', 'Stock_market']",['anatomical structure'],['Stock_market'],stock market,anatomical structure
horse riding,"['horse_riding', 'Horse_Riding', 'Horse_riding', 'horse_Riding']",['sport'],['Horse_Riding'],horse riding,sport
constitutional law,"['Constitutional_law', 'Constitutional_Law', 'constitutional_law', 'constitutional_Law']","['organisation', 'person function']",['Constitutional_law'],constitutional law,organisation
constitutional law,"['Constitutional_law', 'Constitutional_Law', 'constitutional_law', 'constitutional_Law']","['organisation', 'person function']",['Constitutional_law'],constitutional law,person function
probability theory,"['Probability_theory', 'probability_theory', 'Probability_Theory', 'probability_Theory']",['organisation'],['Probability_theory'],probability theory,organisation
conveyancing,"['conveyancing', 'Conveyancing']",['university'],['Conveyancing'],conveyancing,university
energy transformation,"['energy_Transformation', 'energy_transformation', 'Energy_Transformation', 'Energy_transformation']",['Election'],['Energy_transformation'],energy transformation,Election
parasitology,"['parasitology', 'Parasitology']",['book'],['Parasitology'],parasitology,book
defibrillation,"['defibrillation', 'Defibrillation']",['drug'],['Defibrillation'],defibrillation,drug
mobile device management,"['mobile_Device_Management', 'mobile_Device_management', 'Mobile_Device_Management', 'mobile_device_Management', 'mobile_device_management', 'Mobile_device_management', 'Mobile_Device_management', 'Mobile_device_Management']","['music genre', 'music genre']","['Mobile_device_management', 'Mobile_Device_Management']",mobile device management,music genre
mobile device management,"['mobile_Device_Management', 'mobile_Device_management', 'Mobile_Device_Management', 'mobile_device_Management', 'mobile_device_management', 'Mobile_device_management', 'Mobile_Device_management', 'Mobile_device_Management']","['music genre', 'music genre']","['Mobile_device_management', 'Mobile_Device_Management']",mobile device management,music genre
virology,"['virology', 'Virology']","['book', 'person function']",['Virology'],virology,book
virology,"['virology', 'Virology']","['book', 'person function']",['Virology'],virology,person function
golf,"['Golf', 'golf']","['activity', 'sport', 'soccer club']",['Golf'],golf,activity
golf,"['Golf', 'golf']","['activity', 'sport', 'soccer club']",['Golf'],golf,sport
golf,"['Golf', 'golf']","['activity', 'sport', 'soccer club']",['Golf'],golf,soccer club
cytopathology,"['Cytopathology', 'cytopathology']",['organisation'],['Cytopathology'],cytopathology,organisation
motion capture,"['motion_capture', 'Motion_Capture', 'motion_Capture', 'Motion_capture']","['person function', 'Election']","['Motion_Capture', 'Motion_capture']",motion capture,person function
motion capture,"['motion_capture', 'Motion_Capture', 'motion_Capture', 'Motion_capture']","['person function', 'Election']","['Motion_Capture', 'Motion_capture']",motion capture,Election
art history,"['art_history', 'Art_History', 'Art_history', 'art_History']","['music genre', 'book', 'person function']","['Art_History', 'Art_history']",art history,music genre
art history,"['art_history', 'Art_History', 'Art_history', 'art_History']","['music genre', 'book', 'person function']","['Art_History', 'Art_history']",art history,book
art history,"['art_history', 'Art_History', 'Art_history', 'art_History']","['music genre', 'book', 'person function']","['Art_History', 'Art_history']",art history,person function
hydroelectricity,"['hydroelectricity', 'Hydroelectricity']",['river'],['Hydroelectricity'],hydroelectricity,river
neuropsychiatry,"['neuropsychiatry', 'Neuropsychiatry']",['organisation'],['Neuropsychiatry'],neuropsychiatry,organisation
prayer,"['prayer', 'Prayer']",['music genre'],['Prayer'],prayer,music genre
climatology,"['Climatology', 'climatology']","['book', 'person function']",['Climatology'],climatology,book
climatology,"['Climatology', 'climatology']","['book', 'person function']",['Climatology'],climatology,person function
classical antiquity,"['Classical_Antiquity', 'Classical_antiquity', 'classical_antiquity', 'classical_Antiquity']",['music genre'],['Classical_antiquity'],classical antiquity,music genre
TripleStore,"['Triplestore', 'triplestore']","['Biological database', 'music genre']",['Triplestore'],triplestore,Biological database
TripleStore,"['Triplestore', 'triplestore']","['Biological database', 'music genre']",['Triplestore'],triplestore,music genre
bathymetry,"['Bathymetry', 'bathymetry']",['book'],['Bathymetry'],bathymetry,book
types of wood,"['types_Of_Wood', 'types_of_Wood', 'types_of_wood', 'Types_Of_wood', 'Types_of_wood', 'types_Of_wood', 'Types_Of_Wood', 'Types_of_Wood']","['work', 'musical work', 'album']",['Types_of_Wood'],types of wood,work
types of wood,"['types_Of_Wood', 'types_of_Wood', 'types_of_wood', 'Types_Of_wood', 'Types_of_wood', 'types_Of_wood', 'Types_Of_Wood', 'Types_of_Wood']","['work', 'musical work', 'album']",['Types_of_Wood'],types of wood,musical work
types of wood,"['types_Of_Wood', 'types_of_Wood', 'types_of_wood', 'Types_Of_wood', 'Types_of_wood', 'types_Of_wood', 'Types_Of_Wood', 'Types_of_Wood']","['work', 'musical work', 'album']",['Types_of_Wood'],types of wood,album
tennis,"['Tennis', 'tennis']","['activity', 'sport']",['Tennis'],tennis,activity
tennis,"['Tennis', 'tennis']","['activity', 'sport']",['Tennis'],tennis,sport
Engrade,"['engrade', 'Engrade']","['company', 'work', 'website']",['Engrade'],engrade,company
Engrade,"['engrade', 'Engrade']","['company', 'work', 'website']",['Engrade'],engrade,work
Engrade,"['engrade', 'Engrade']","['company', 'work', 'website']",['Engrade'],engrade,website
phytotherapy,"['Phytotherapy', 'phytotherapy']",['book'],['Phytotherapy'],phytotherapy,book
marketing management,"['marketing_Management', 'marketing_management', 'Marketing_management', 'Marketing_Management']","['sport', 'person function']",['Marketing_management'],marketing management,sport
marketing management,"['marketing_Management', 'marketing_management', 'Marketing_management', 'Marketing_Management']","['sport', 'person function']",['Marketing_management'],marketing management,person function
child protection,"['child_protection', 'Child_Protection', 'Child_protection', 'child_Protection']",['person function'],['Child_protection'],child protection,person function
toxicology,"['Toxicology', 'toxicology']","['organisation', 'person function']",['Toxicology'],toxicology,organisation
toxicology,"['Toxicology', 'toxicology']","['organisation', 'person function']",['Toxicology'],toxicology,person function
psychosomatics,"['psychosomatics', 'Psychosomatics']","['periodical literature', 'work', 'academic journal', 'written work']",['Psychosomatics'],psychosomatics,periodical literature
psychosomatics,"['psychosomatics', 'Psychosomatics']","['periodical literature', 'work', 'academic journal', 'written work']",['Psychosomatics'],psychosomatics,work
psychosomatics,"['psychosomatics', 'Psychosomatics']","['periodical literature', 'work', 'academic journal', 'written work']",['Psychosomatics'],psychosomatics,academic journal
psychosomatics,"['psychosomatics', 'Psychosomatics']","['periodical literature', 'work', 'academic journal', 'written work']",['Psychosomatics'],psychosomatics,written work
neuropharmacology,"['Neuropharmacology', 'neuropharmacology']",['book'],['Neuropharmacology'],neuropharmacology,book
electricity,"['Electricity', 'electricity']",['music genre'],['Electricity'],electricity,music genre
monasticism,"['Monasticism', 'monasticism']",['person function'],['Monasticism'],monasticism,person function
fine arts,"['Fine_Arts', 'fine_arts', 'fine_Arts', 'Fine_arts']","['music genre', 'university']","['Fine_Arts', 'Fine_arts']",fine arts,music genre
fine arts,"['Fine_Arts', 'fine_arts', 'fine_Arts', 'Fine_arts']","['music genre', 'university']","['Fine_Arts', 'Fine_arts']",fine arts,university
pedagogy,"['pedagogy', 'Pedagogy']","['sport', 'person function']",['Pedagogy'],pedagogy,sport
pedagogy,"['pedagogy', 'Pedagogy']","['sport', 'person function']",['Pedagogy'],pedagogy,person function
quran,"['quran', 'Quran']","['book', 'music genre']",['Quran'],quran,book
quran,"['quran', 'Quran']","['book', 'music genre']",['Quran'],quran,music genre
computer forensics,"['computer_Forensics', 'Computer_Forensics', 'Computer_forensics', 'computer_forensics']","['organisation', 'music genre', 'music genre']","['Computer_Forensics', 'Computer_forensics']",computer forensics,organisation
computer forensics,"['computer_Forensics', 'Computer_Forensics', 'Computer_forensics', 'computer_forensics']","['organisation', 'music genre', 'music genre']","['Computer_Forensics', 'Computer_forensics']",computer forensics,music genre
computer forensics,"['computer_Forensics', 'Computer_Forensics', 'Computer_forensics', 'computer_forensics']","['organisation', 'music genre', 'music genre']","['Computer_Forensics', 'Computer_forensics']",computer forensics,music genre
rheumatology,"['Rheumatology', 'rheumatology']","['medical specialty', 'person function']",['Rheumatology'],rheumatology,medical specialty
rheumatology,"['Rheumatology', 'rheumatology']","['medical specialty', 'person function']",['Rheumatology'],rheumatology,person function
cardiovascular system,"['cardiovascular_System', 'cardiovascular_system', 'Cardiovascular_system', 'Cardiovascular_System']",['anatomical structure'],['Cardiovascular_system'],cardiovascular system,anatomical structure
astrology,"['astrology', 'Astrology']","['book', 'person function']",['Astrology'],astrology,book
astrology,"['astrology', 'Astrology']","['book', 'person function']",['Astrology'],astrology,person function
project management,"['Project_management', 'Project_Management', 'project_management', 'project_Management']","['sport', 'music genre', 'music genre']","['Project_management', 'Project_Management']",project management,sport
project management,"['Project_management', 'Project_Management', 'project_management', 'project_Management']","['sport', 'music genre', 'music genre']","['Project_management', 'Project_Management']",project management,music genre
project management,"['Project_management', 'Project_Management', 'project_management', 'project_Management']","['sport', 'music genre', 'music genre']","['Project_management', 'Project_Management']",project management,music genre
natural language processing,"['natural_Language_Processing', 'natural_Language_processing', 'Natural_Language_processing', 'natural_language_processing', 'Natural_language_Processing', 'natural_language_Processing', 'Natural_Language_Processing', 'Natural_language_processing']",['music genre'],['Natural_language_processing'],natural language processing,music genre
public finance,"['public_finance', 'Public_finance', 'public_Finance', 'Public_Finance']",['book'],['Public_finance'],public finance,book
carpentry,"['carpentry', 'Carpentry']","['organisation', 'person function']",['Carpentry'],carpentry,organisation
carpentry,"['carpentry', 'Carpentry']","['organisation', 'person function']",['Carpentry'],carpentry,person function
metallurgy,"['metallurgy', 'Metallurgy']","['person function', 'protein']",['Metallurgy'],metallurgy,person function
metallurgy,"['metallurgy', 'Metallurgy']","['person function', 'protein']",['Metallurgy'],metallurgy,protein
geochemistry,"['geochemistry', 'Geochemistry']",['work'],['Geochemistry'],geochemistry,work
Shiva,"['shiva', 'Shiva']","['agent', 'deity', 'musical artist']",['Shiva'],shiva,agent
Shiva,"['shiva', 'Shiva']","['agent', 'deity', 'musical artist']",['Shiva'],shiva,deity
Shiva,"['shiva', 'Shiva']","['agent', 'deity', 'musical artist']",['Shiva'],shiva,musical artist
organic farming,"['organic_Farming', 'organic_farming', 'Organic_farming', 'Organic_Farming']",['person function'],['Organic_farming'],organic farming,person function
nuclear medicine,"['Nuclear_medicine', 'nuclear_Medicine', 'nuclear_medicine', 'Nuclear_Medicine']","['Food', 'person function']",['Nuclear_medicine'],nuclear medicine,Food
nuclear medicine,"['Nuclear_medicine', 'nuclear_Medicine', 'nuclear_medicine', 'Nuclear_Medicine']","['Food', 'person function']",['Nuclear_medicine'],nuclear medicine,person function
hydrography,"['Hydrography', 'hydrography']","['organisation', 'person function']",['Hydrography'],hydrography,organisation
hydrography,"['Hydrography', 'hydrography']","['organisation', 'person function']",['Hydrography'],hydrography,person function
Limburgish,"['limburgish', 'Limburgish']",['language'],['Limburgish'],limburgish,language
web analytics,"['web_Analytics', 'Web_analytics', 'web_analytics', 'Web_Analytics']","['company', 'music genre']",['Web_analytics'],web analytics,company
web analytics,"['web_Analytics', 'Web_analytics', 'web_analytics', 'Web_Analytics']","['company', 'music genre']",['Web_analytics'],web analytics,music genre
landscape design,"['landscape_Design', 'Landscape_Design', 'landscape_design', 'Landscape_design']",['person function'],['Landscape_design'],landscape design,person function
Slovenian,"['Slovenian', 'slovenian']",['country'],['Slovenian'],slovenian,country
public relations,"['public_Relations', 'Public_Relations', 'Public_relations', 'public_relations']","['company', 'person function', 'person function']","['Public_Relations', 'Public_relations']",public relations,company
public relations,"['public_Relations', 'Public_Relations', 'Public_relations', 'public_relations']","['company', 'person function', 'person function']","['Public_Relations', 'Public_relations']",public relations,person function
public relations,"['public_Relations', 'Public_Relations', 'Public_relations', 'public_relations']","['company', 'person function', 'person function']","['Public_Relations', 'Public_relations']",public relations,person function
diving equipment,"['diving_equipment', 'diving_Equipment', 'Diving_Equipment', 'Diving_equipment']","['company', 'music genre']",['Diving_equipment'],diving equipment,company
diving equipment,"['diving_equipment', 'diving_Equipment', 'Diving_Equipment', 'Diving_equipment']","['company', 'music genre']",['Diving_equipment'],diving equipment,music genre
nanotechnology,"['Nanotechnology', 'nanotechnology']","['company', 'music genre']",['Nanotechnology'],nanotechnology,company
nanotechnology,"['Nanotechnology', 'nanotechnology']","['company', 'music genre']",['Nanotechnology'],nanotechnology,music genre
torah,"['torah', 'Torah']",['village'],['Torah'],torah,village
first aid,"['First_aid', 'First_Aid', 'first_aid', 'first_Aid']",['company'],['First_aid'],first aid,company
materials science,"['Materials_science', 'Materials_Science', 'materials_science', 'materials_Science']","['music genre', 'person function']","['Materials_Science', 'Materials_science']",materials science,music genre
materials science,"['Materials_science', 'Materials_Science', 'materials_science', 'materials_Science']","['music genre', 'person function']","['Materials_Science', 'Materials_science']",materials science,person function
kinanthropometry,"['kinanthropometry', 'Kinanthropometry']",['sport'],['Kinanthropometry'],kinanthropometry,sport
electricity market,"['electricity_Market', 'Electricity_market', 'Electricity_Market', 'electricity_market']",['bank'],['Electricity_market'],electricity market,bank
iridology,"['iridology', 'Iridology']",['topical concept'],['Iridology'],iridology,topical concept
adult education,"['adult_education', 'Adult_education', 'Adult_Education', 'adult_Education']",['company'],['Adult_education'],adult education,company
Microsoft Visio,"['microsoft_visio', 'microsoft_Visio', 'Microsoft_Visio', 'Microsoft_visio']",['software'],['Microsoft_Visio'],microsoft visio,software
photoengraving,"['Photoengraving', 'photoengraving']",['Election'],['Photoengraving'],photoengraving,Election
Chef,"['Chef', 'chef']","['person', 'person function']",['Chef'],chef,person
Chef,"['Chef', 'chef']","['person', 'person function']",['Chef'],chef,person function
meteorology,"['Meteorology', 'meteorology']",['person function'],['Meteorology'],meteorology,person function
medical mycology,"['Medical_mycology', 'Medical_Mycology', 'medical_mycology', 'medical_Mycology']","['periodical literature', 'work', 'academic journal', 'written work']",['Medical_Mycology'],medical mycology,periodical literature
medical mycology,"['Medical_mycology', 'Medical_Mycology', 'medical_mycology', 'medical_Mycology']","['periodical literature', 'work', 'academic journal', 'written work']",['Medical_Mycology'],medical mycology,work
medical mycology,"['Medical_mycology', 'Medical_Mycology', 'medical_mycology', 'medical_Mycology']","['periodical literature', 'work', 'academic journal', 'written work']",['Medical_Mycology'],medical mycology,academic journal
medical mycology,"['Medical_mycology', 'Medical_Mycology', 'medical_mycology', 'medical_Mycology']","['periodical literature', 'work', 'academic journal', 'written work']",['Medical_Mycology'],medical mycology,written work
telecommunications engineering,"['Telecommunications_Engineering', 'telecommunications_Engineering', 'telecommunications_engineering', 'Telecommunications_engineering']","['sport', 'person function']",['Telecommunications_engineering'],telecommunications engineering,sport
telecommunications engineering,"['Telecommunications_Engineering', 'telecommunications_Engineering', 'telecommunications_engineering', 'Telecommunications_engineering']","['sport', 'person function']",['Telecommunications_engineering'],telecommunications engineering,person function
pharmacognosy,"['Pharmacognosy', 'pharmacognosy']",['book'],['Pharmacognosy'],pharmacognosy,book
Rapid application development,"['Rapid_Application_development', 'Rapid_Application_Development', 'rapid_Application_development', 'rapid_application_development', 'rapid_application_Development', 'Rapid_application_Development', 'rapid_Application_Development', 'Rapid_application_development']","['music genre', 'music genre']","['Rapid_application_development', 'Rapid_Application_Development']",rapid application development,music genre
Rapid application development,"['Rapid_Application_development', 'Rapid_Application_Development', 'rapid_Application_development', 'rapid_application_development', 'rapid_application_Development', 'Rapid_application_Development', 'rapid_Application_Development', 'Rapid_application_development']","['music genre', 'music genre']","['Rapid_application_development', 'Rapid_Application_Development']",rapid application development,music genre
typography,"['typography', 'Typography']","['person', 'person function']",['Typography'],typography,person
typography,"['typography', 'Typography']","['person', 'person function']",['Typography'],typography,person function
seismology,"['seismology', 'Seismology']","['book', 'person function']",['Seismology'],seismology,book
seismology,"['seismology', 'Seismology']","['book', 'person function']",['Seismology'],seismology,person function
human-computer interaction,"['human-computer_Interaction', 'human-computer_interaction', 'Human-computer_Interaction', 'Human-computer_interaction']",['person function'],['Human-computer_interaction'],human-computer interaction,person function
graphic design,"['Graphic_design', 'graphic_design', 'graphic_Design', 'Graphic_Design']","['Election', 'person function', 'music genre']","['Graphic_design', 'Graphic_Design']",graphic design,Election
graphic design,"['Graphic_design', 'graphic_design', 'graphic_Design', 'Graphic_Design']","['Election', 'person function', 'music genre']","['Graphic_design', 'Graphic_Design']",graphic design,person function
graphic design,"['Graphic_design', 'graphic_design', 'graphic_Design', 'Graphic_Design']","['Election', 'person function', 'music genre']","['Graphic_design', 'Graphic_Design']",graphic design,music genre
audio editing software,"['Audio_Editing_software', 'Audio_editing_software', 'audio_editing_software', 'audio_editing_Software', 'Audio_Editing_Software', 'Audio_editing_Software', 'audio_Editing_software', 'audio_Editing_Software']","['music genre', 'software', 'music genre']","['Audio_Editing_Software', 'Audio_editing_software']",audio editing software,music genre
audio editing software,"['Audio_Editing_software', 'Audio_editing_software', 'audio_editing_software', 'audio_editing_Software', 'Audio_Editing_Software', 'Audio_editing_Software', 'audio_Editing_software', 'audio_Editing_Software']","['music genre', 'software', 'music genre']","['Audio_Editing_Software', 'Audio_editing_software']",audio editing software,software
audio editing software,"['Audio_Editing_software', 'Audio_editing_software', 'audio_editing_software', 'audio_editing_Software', 'Audio_Editing_Software', 'Audio_editing_Software', 'audio_Editing_software', 'audio_Editing_Software']","['music genre', 'software', 'music genre']","['Audio_Editing_Software', 'Audio_editing_software']",audio editing software,music genre
desktop publishing,"['Desktop_Publishing', 'desktop_Publishing', 'desktop_publishing', 'Desktop_publishing']","['organisation', 'music genre', 'music genre']","['Desktop_Publishing', 'Desktop_publishing']",desktop publishing,organisation
desktop publishing,"['Desktop_Publishing', 'desktop_Publishing', 'desktop_publishing', 'Desktop_publishing']","['organisation', 'music genre', 'music genre']","['Desktop_Publishing', 'Desktop_publishing']",desktop publishing,music genre
desktop publishing,"['Desktop_Publishing', 'desktop_Publishing', 'desktop_publishing', 'Desktop_publishing']","['organisation', 'music genre', 'music genre']","['Desktop_Publishing', 'Desktop_publishing']",desktop publishing,music genre
graphite,"['graphite', 'Graphite']","['chemical substance', 'mineral']",['Graphite'],graphite,chemical substance
graphite,"['graphite', 'Graphite']","['chemical substance', 'mineral']",['Graphite'],graphite,mineral
olfaction,"['olfaction', 'Olfaction']",['species'],['Olfaction'],olfaction,species
food engineering,"['food_Engineering', 'food_engineering', 'Food_engineering', 'Food_Engineering']",['person function'],['Food_engineering'],food engineering,person function
Ancient Greek,"['ancient_Greek', 'Ancient_greek', 'Ancient_Greek', 'ancient_greek']",['language'],['Ancient_Greek'],ancient greek,language
helminthology,"['Helminthology', 'helminthology']",['book'],['Helminthology'],helminthology,book
animal training,"['Animal_Training', 'animal_training', 'animal_Training', 'Animal_training']",['person function'],['Animal_training'],animal training,person function
orthodontics,"['orthodontics', 'Orthodontics']",['Food'],['Orthodontics'],orthodontics,Food
lip reading,"['lip_reading', 'Lip_reading', 'lip_Reading', 'Lip_Reading']",['topical concept'],['Lip_reading'],lip reading,topical concept
reiki,"['Reiki', 'reiki']",['person function'],['Reiki'],reiki,person function
postediting,"['Postediting', 'postediting']",['Election'],['Postediting'],postediting,Election
surface-mount technology,"['surface-mount_technology', 'Surface-mount_Technology', 'surface-mount_Technology', 'Surface-mount_technology']",['software'],['Surface-mount_technology'],surface-mount technology,software
telemarketing,"['Telemarketing', 'telemarketing']",['software'],['Telemarketing'],telemarketing,software
computational fluid dynamics,"['Computational_fluid_Dynamics', 'computational_fluid_Dynamics', 'computational_Fluid_Dynamics', 'computational_fluid_dynamics', 'computational_Fluid_dynamics', 'Computational_Fluid_Dynamics', 'Computational_Fluid_dynamics', 'Computational_fluid_dynamics']","['organisation', 'music genre', 'music genre']","['Computational_Fluid_Dynamics', 'Computational_fluid_dynamics']",computational fluid dynamics,organisation
computational fluid dynamics,"['Computational_fluid_Dynamics', 'computational_fluid_Dynamics', 'computational_Fluid_Dynamics', 'computational_fluid_dynamics', 'computational_Fluid_dynamics', 'Computational_Fluid_Dynamics', 'Computational_Fluid_dynamics', 'Computational_fluid_dynamics']","['organisation', 'music genre', 'music genre']","['Computational_Fluid_Dynamics', 'Computational_fluid_dynamics']",computational fluid dynamics,music genre
computational fluid dynamics,"['Computational_fluid_Dynamics', 'computational_fluid_Dynamics', 'computational_Fluid_Dynamics', 'computational_fluid_dynamics', 'computational_Fluid_dynamics', 'Computational_Fluid_Dynamics', 'Computational_Fluid_dynamics', 'Computational_fluid_dynamics']","['organisation', 'music genre', 'music genre']","['Computational_Fluid_Dynamics', 'Computational_fluid_dynamics']",computational fluid dynamics,music genre
cyber security,"['Cyber_Security', 'Cyber_security', 'cyber_Security', 'cyber_security']","['person function', 'person function']","['Cyber_Security', 'Cyber_security']",cyber security,person function
cyber security,"['Cyber_Security', 'Cyber_security', 'cyber_Security', 'cyber_security']","['person function', 'person function']","['Cyber_Security', 'Cyber_security']",cyber security,person function
energy market,"['Energy_Market', 'Energy_market', 'energy_market', 'energy_Market']",['building'],['Energy_market'],energy market,building
JavaScript,"['Javascript', 'javascript']",['programming language'],['Javascript'],javascript,programming language
victimology,"['victimology', 'Victimology']",['book'],['Victimology'],victimology,book
topography,"['topography', 'Topography']","['book', 'music genre']",['Topography'],topography,book
topography,"['topography', 'Topography']","['book', 'music genre']",['Topography'],topography,music genre
building automation,"['Building_automation', 'Building_Automation', 'building_automation', 'building_Automation']",['place'],['Building_automation'],building automation,place
venereology,"['venereology', 'Venereology']",['organisation'],['Venereology'],venereology,organisation
shale gas,"['Shale_Gas', 'shale_Gas', 'shale_gas', 'Shale_gas']",['chemical compound'],['Shale_gas'],shale gas,chemical compound
document management,"['document_Management', 'Document_Management', 'document_management', 'Document_management']","['music genre', 'music genre']","['Document_Management', 'Document_management']",document management,music genre
document management,"['document_Management', 'Document_Management', 'document_management', 'Document_management']","['music genre', 'music genre']","['Document_Management', 'Document_management']",document management,music genre
theatre pedagogy,"['theatre_Pedagogy', 'Theatre_Pedagogy', 'theatre_pedagogy', 'Theatre_pedagogy']",['sport'],['Theatre_pedagogy'],theatre pedagogy,sport
Adobe Photoshop,"['Adobe_Photoshop', 'adobe_Photoshop', 'adobe_photoshop', 'Adobe_photoshop']","['person', 'software', 'work']",['Adobe_Photoshop'],adobe photoshop,person
Adobe Photoshop,"['Adobe_Photoshop', 'adobe_Photoshop', 'adobe_photoshop', 'Adobe_photoshop']","['person', 'software', 'work']",['Adobe_Photoshop'],adobe photoshop,software
Adobe Photoshop,"['Adobe_Photoshop', 'adobe_Photoshop', 'adobe_photoshop', 'Adobe_photoshop']","['person', 'software', 'work']",['Adobe_Photoshop'],adobe photoshop,work
natural history,"['natural_History', 'Natural_History', 'Natural_history', 'natural_history']","['music genre', 'organisation', 'person function']","['Natural_History', 'Natural_history']",natural history,music genre
natural history,"['natural_History', 'Natural_History', 'Natural_history', 'natural_history']","['music genre', 'organisation', 'person function']","['Natural_History', 'Natural_history']",natural history,organisation
natural history,"['natural_History', 'Natural_History', 'Natural_history', 'natural_history']","['music genre', 'organisation', 'person function']","['Natural_History', 'Natural_history']",natural history,person function
hair,"['hair', 'Hair']","['anatomical structure', 'nerve']",['Hair'],hair,anatomical structure
hair,"['hair', 'Hair']","['anatomical structure', 'nerve']",['Hair'],hair,nerve
acupressure,"['acupressure', 'Acupressure']",['topical concept'],['Acupressure'],acupressure,topical concept
biomedical engineering,"['Biomedical_Engineering', 'biomedical_Engineering', 'Biomedical_engineering', 'biomedical_engineering']","['university', 'software', 'person function']","['Biomedical_Engineering', 'Biomedical_engineering']",biomedical engineering,university
